M,N,K,shape_class
1,4096,384,grid
1,4096,512,grid
1,4096,768,grid
1,4096,1024,grid
1,4096,1536,grid
1,4096,4096,grid
1,4097,1,fat
1,4097,8,gemv_wideN
1,4097,16,gemv_wideN
1,4097,64,wide_output
1,4097,128,gemv_wideN
1,4097,256,gemv_wideN
1,4104,1,fat
1,4104,8,gemv_wideN
1,4104,16,gemv_wideN
1,4104,64,wide_output
1,4104,128,gemv_wideN
1,4104,256,gemv_wideN
1,4129,1,fat
1,4129,8,gemv_wideN
1,4129,16,gemv_wideN
1,4129,64,wide_output
1,4129,128,gemv_wideN
1,4129,256,gemv_wideN
1,4160,1,fat
1,4160,8,gemv_wideN
1,4160,16,gemv_wideN
1,4160,64,wide_output
1,4160,128,gemv_wideN
1,4160,256,gemv_wideN
1,4192,1,fat
1,4192,8,gemv_wideN
1,4192,16,gemv_wideN
1,4192,64,wide_output
1,4192,128,gemv_wideN
1,4192,256,gemv_wideN
1,4223,1,fat
1,4223,8,gemv_wideN
1,4223,16,gemv_wideN
1,4223,64,wide_output
1,4223,128,gemv_wideN
1,4223,256,gemv_wideN
1,4287,2028,random
1,4527,2,random
1,5126,7,random
1,5334,1675,random
1,5540,231,random
1,8192,1,fat
1,8192,8,gemv_wideN
1,8192,16,gemv_wideN
1,8192,64,wide_output
1,8192,128,gemv_wideN
1,8192,256,gemv_wideN
1,8193,1,fat
1,8193,8,gemv_wideN
1,8193,16,gemv_wideN
1,8193,64,wide_output
1,8193,128,gemv_wideN
1,8193,256,gemv_wideN
1,8200,1,fat
1,8200,8,gemv_wideN
1,8200,16,gemv_wideN
1,8200,64,wide_output
1,8200,128,gemv_wideN
1,8200,256,gemv_wideN
1,8225,1,fat
1,8225,8,gemv_wideN
1,8225,16,gemv_wideN
1,8225,64,wide_output
1,8225,128,gemv_wideN
1,8225,256,gemv_wideN
1,8256,1,fat
1,8256,8,gemv_wideN
1,8256,16,gemv_wideN
1,8256,64,wide_output
1,8256,128,gemv_wideN
1,8256,256,gemv_wideN
1,8288,1,fat
1,8288,8,gemv_wideN
1,8288,16,gemv_wideN
1,8288,64,wide_output
1,8288,128,gemv_wideN
1,8288,256,gemv_wideN
1,8319,1,fat
1,8319,8,gemv_wideN
1,8319,16,gemv_wideN
1,8319,64,wide_output
1,8319,128,gemv_wideN
1,8319,256,gemv_wideN
2,1,1,random
2,1,2,grid
2,1,4,grid
2,1,8,random
2,1,16,grid
2,1,32,grid
2,1,35,random
2,1,43,random
2,1,64,grid
2,1,127,grid
2,1,128,grid
2,1,129,grid
2,1,256,grid
2,1,384,grid
2,1,512,grid
2,1,768,grid
2,1,1693,random
2,1,4531,random
2,2,4,grid
2,2,8,grid
2,2,32,grid
2,2,64,grid
2,2,187,random
2,2,192,grid
2,2,256,grid
2,2,384,grid
2,2,512,grid
2,2,860,random
2,2,4096,grid
2,3,7,random
2,3,74,random
2,3,88,random
2,3,347,random
2,4,32,grid
2,4,64,grid
2,4,96,grid
2,4,129,grid
2,4,192,grid
2,4,256,grid
2,4,258,random
2,4,284,random
2,4,512,grid
2,4,768,grid
2,4,2048,grid
2,4,5105,random
2,5,14,random
2,5,111,random
2,6,3,random
2,6,19,random
2,7,1,random
2,8,32,grid
2,8,64,grid
2,8,128,grid
2,8,129,grid
2,8,174,random
2,8,256,grid
2,8,512,grid
2,8,1024,grid
2,8,1536,grid
2,8,2048,grid
2,8,4096,grid
2,12,59,random
2,15,106,random
2,15,825,random
2,16,4,grid
2,16,32,grid
2,16,96,grid
2,16,127,grid
2,16,128,grid
2,16,129,grid
2,16,191,random
2,16,256,grid
2,16,257,grid
2,16,768,grid
2,16,2048,grid
2,16,4096,grid
2,20,6728,random
2,23,90,random
2,25,1,random
2,29,5421,random
2,32,2,grid
2,32,64,grid
2,32,129,grid
2,32,256,grid
2,32,768,grid
2,32,4096,grid
2,35,218,random
2,35,5366,random
2,38,19,random
2,44,143,random
2,55,30,random
2,64,2,grid
2,64,4,grid
2,64,16,grid
2,64,32,grid
2,64,64,grid
2,64,96,grid
2,64,127,grid
2,64,128,grid
2,64,129,grid
2,64,192,grid
2,64,384,grid
2,64,512,grid
2,64,768,grid
2,65,394,random
2,70,4,random
2,73,144,random
2,77,21,random
2,96,8,grid
2,96,64,grid
2,96,96,grid
2,96,127,grid
2,96,128,grid
2,96,192,grid
2,96,768,grid
2,96,1536,grid
2,96,4096,grid
2,119,117,random
2,124,3,random
2,127,4,grid
2,127,16,grid
2,127,96,grid
2,127,127,grid
2,127,128,grid
2,127,129,grid
2,127,256,grid
2,127,1536,grid
2,127,2048,grid
2,128,8,grid
2,128,16,grid
2,128,32,grid
2,128,64,grid
2,128,127,grid
2,128,128,grid
2,128,129,grid
2,128,256,grid
2,128,257,grid
2,128,1024,grid
2,128,2048,grid
2,129,1,grid
2,129,8,grid
2,129,16,grid
2,129,32,grid
2,129,64,grid
2,129,96,grid
2,129,127,grid
2,129,128,grid
2,129,192,grid
2,129,256,grid
2,129,768,grid
2,129,1024,grid
2,129,1536,grid
2,129,2048,grid
2,161,24,random
2,169,125,random
2,192,1,grid
2,192,8,grid
2,192,32,grid
2,192,96,grid
2,192,512,grid
2,192,1536,grid
2,192,4096,grid
2,197,55,random
2,200,20,random
2,256,1,grid
2,256,8,grid
2,256,257,grid
2,256,384,grid
2,256,1024,grid
2,256,2048,grid
2,256,4096,grid
2,257,1,grid
2,257,64,grid
2,257,127,grid
2,257,384,grid
2,257,2048,grid
2,257,4096,grid
2,270,1,random
2,289,160,random
2,309,4407,random
2,314,5,random
2,361,435,random
2,370,387,random
2,384,4,grid
2,384,8,grid
2,384,16,grid
2,384,32,grid
2,384,127,grid
2,384,192,grid
2,384,256,grid
2,384,768,grid
2,384,1024,grid
2,384,2048,grid
2,384,4096,grid
2,420,5,random
2,501,2,random
2,512,1,grid
2,512,2,grid
2,512,4,grid
2,512,96,grid
2,512,257,grid
2,512,1536,grid
2,512,2048,grid
2,605,462,random
2,620,1,random
2,768,1,grid
2,768,2,grid
2,768,96,grid
2,768,128,grid
2,768,192,grid
2,768,256,grid
2,768,384,grid
2,768,1024,grid
2,768,1536,grid
2,768,2048,grid
2,922,2699,random
2,986,1143,random
2,1009,411,random
2,1024,8,grid
2,1024,129,grid
2,1024,257,grid
2,1024,512,grid
2,1024,768,grid
2,1024,1536,grid
2,1096,13,random
2,1100,3,random
2,1216,59,random
2,1310,11,random
2,1360,25,random
2,1536,1,grid
2,1536,2,grid
2,1536,4,grid
2,1536,8,grid
2,1536,16,grid
2,1536,96,grid
2,1536,127,grid
2,1536,192,grid
2,1536,256,grid
2,1536,257,grid
2,1536,512,grid
2,1536,1536,grid
2,1609,3007,random
2,2048,2,grid
2,2048,4,grid
2,2048,16,grid
2,2048,64,grid
2,2048,127,grid
2,2048,129,grid
2,2048,192,grid
2,2048,257,grid
2,2048,384,grid
2,2048,512,grid
2,2048,1024,grid
2,2048,1536,grid
2,2048,4096,grid
2,2197,36,random
2,2396,559,random
2,2514,1,random
2,3158,94,random
2,3274,396,random
2,3448,4790,random
2,4096,1,grid
2,4096,256,grid
2,4096,257,grid
2,4096,384,grid
2,4096,512,grid
2,4096,768,grid
2,4096,1024,grid
2,4096,2048,grid
2,4520,900,random
2,4999,627,random
2,5203,113,random
2,5569,7474,random
2,5794,7081,random
2,6806,7953,random
2,6901,673,random
2,7482,2208,random
3,1,2,random
3,1,4,random
3,1,16,random
3,1,45,random
3,2,2,random
3,2,7040,random
3,3,4,random
3,3,8,random
3,3,32,random
3,3,625,random
3,3,686,random
3,3,1544,random
3,3,3676,random
3,4,1504,random
3,8,87,random
3,8,373,random
3,13,1770,random
3,17,1,random
3,24,5,random
3,29,109,random
3,29,2114,random
3,30,933,random
3,32,33,random
3,33,2911,random
3,36,6,random
3,45,410,random
3,48,1,random
3,49,2,random
3,54,435,random
3,68,28,random
3,76,325,random
3,141,23,random
3,154,1,random
3,160,338,random
3,188,4,random
3,199,16,random
3,216,83,random
3,247,1111,random
3,265,313,random
3,274,4,random
3,328,82,random
3,329,126,random
3,374,7920,random
3,472,111,random
3,611,6783,random
3,643,55,random
3,768,25,random
3,920,20,random
3,1318,27,random
3,1407,6,random
3,1548,11,random
3,1822,83,random
3,2407,1662,random
3,2873,1,random
3,3131,69,random
3,3700,1343,random
3,4036,9,random
3,4053,75,random
3,4154,11,random
3,4336,5156,random
3,4519,17,random
3,4638,50,random
3,6780,373,random
3,7254,65,random
4,1,16,grid
4,1,33,random
4,1,96,grid
4,1,127,grid
4,1,128,grid
4,1,214,random
4,1,256,grid
4,1,286,random
4,1,1024,grid
4,1,2048,grid
4,1,4096,grid
4,2,2,grid
4,2,8,grid
4,2,16,grid
4,2,64,grid
4,2,127,grid
4,2,128,grid
4,2,192,grid
4,2,256,grid
4,2,384,grid
4,2,768,grid
4,2,2048,grid
4,3,94,random
4,3,8045,random
4,4,1,random
4,4,4,grid
4,4,32,grid
4,4,64,grid
4,4,127,grid
4,4,128,grid
4,4,129,grid
4,4,174,random
4,4,192,grid
4,4,256,grid
4,4,257,grid
4,4,512,grid
4,4,1024,grid
4,5,10,random
4,5,4015,random
4,6,30,random
4,7,3,random
4,8,4,grid
4,8,8,grid
4,8,32,grid
4,8,96,grid
4,8,127,grid
4,8,256,grid
4,8,384,grid
4,8,512,grid
4,8,1024,grid
4,8,2048,grid
4,16,1,grid
4,16,2,grid
4,16,4,grid
4,16,96,grid
4,16,127,grid
4,16,129,grid
4,16,256,grid
4,16,257,grid
4,16,768,grid
4,16,1024,grid
4,20,1231,random
4,22,41,random
4,25,100,random
4,32,1,grid
4,32,2,grid
4,32,4,grid
4,32,13,random
4,32,16,grid
4,32,32,grid
4,32,127,grid
4,32,128,grid
4,32,163,random
4,32,192,grid
4,32,257,grid
4,32,512,grid
4,32,1536,grid
4,32,2048,grid
4,44,916,random
4,48,36,random
4,64,1,grid
4,64,2,grid
4,64,16,grid
4,64,64,grid
4,64,96,grid
4,64,128,grid
4,64,129,grid
4,64,256,grid
4,64,257,grid
4,64,384,grid
4,64,512,grid
4,64,1024,grid
4,64,4096,grid
4,96,2,grid
4,96,32,grid
4,96,64,grid
4,96,96,grid
4,96,129,grid
4,96,192,grid
4,96,257,grid
4,96,384,grid
4,96,768,grid
4,96,4096,grid
4,127,2,grid
4,127,8,grid
4,127,64,grid
4,127,192,grid
4,127,512,grid
4,127,768,grid
4,128,16,grid
4,128,32,grid
4,128,96,grid
4,128,127,grid
4,128,192,grid
4,128,256,grid
4,128,1024,grid
4,128,1536,grid
4,128,4096,grid
4,129,2,grid
4,129,8,grid
4,129,16,grid
4,129,127,grid
4,129,128,grid
4,129,256,grid
4,129,384,grid
4,129,1024,grid
4,129,2048,grid
4,144,10,random
4,152,2,random
4,183,2,random
4,192,2,grid
4,192,8,grid
4,192,64,grid
4,192,127,grid
4,192,128,grid
4,192,129,grid
4,192,192,grid
4,192,512,grid
4,192,1024,grid
4,192,1536,grid
4,192,2048,grid
4,192,4096,grid
4,227,10,random
4,256,4,grid
4,256,8,grid
4,256,16,grid
4,256,32,grid
4,256,129,grid
4,256,1024,grid
4,256,1536,grid
4,256,4096,grid
4,257,1,grid
4,257,2,grid
4,257,4,grid
4,257,8,grid
4,257,96,grid
4,257,127,grid
4,257,128,grid
4,257,129,grid
4,257,256,grid
4,257,1536,grid
4,257,4096,grid
4,280,453,random
4,369,6173,random
4,384,16,grid
4,384,32,grid
4,384,64,grid
4,384,127,grid
4,384,257,grid
4,384,512,grid
4,384,1024,grid
4,384,1536,grid
4,384,4096,grid
4,412,24,random
4,512,1,grid
4,512,4,grid
4,512,8,grid
4,512,16,grid
4,512,32,grid
4,512,127,grid
4,512,129,grid
4,512,192,grid
4,512,257,grid
4,512,1024,grid
4,512,1536,grid
4,512,2048,grid
4,512,4096,grid
4,581,70,random
4,630,173,random
4,696,13,random
4,768,1,grid
4,768,2,grid
4,768,8,grid
4,768,32,grid
4,768,127,grid
4,768,256,grid
4,768,257,grid
4,768,384,grid
4,768,768,grid
4,768,1536,grid
4,768,2048,grid
4,768,4096,grid
4,791,514,random
4,894,874,random
4,970,1636,random
4,1024,4,grid
4,1024,8,grid
4,1024,128,grid
4,1024,129,grid
4,1024,192,grid
4,1024,256,grid
4,1024,257,grid
4,1024,384,grid
4,1024,768,grid
4,1536,8,grid
4,1536,32,grid
4,1536,64,grid
4,1536,96,grid
4,1536,127,grid
4,1536,128,grid
4,1536,129,grid
4,1536,192,grid
4,1536,384,grid
4,1536,2048,grid
4,1536,4096,grid
4,2048,4,grid
4,2048,8,grid
4,2048,16,grid
4,2048,32,grid
4,2048,96,grid
4,2048,129,grid
4,2048,192,grid
4,2048,384,grid
4,2048,512,grid
4,2048,768,grid
4,2048,2048,grid
4,2048,4096,grid
4,2213,387,random
4,2594,83,random
4,3845,125,random
4,4096,4,grid
4,4096,16,grid
4,4096,32,grid
4,4096,127,grid
4,4096,256,grid
4,4096,384,grid
4,4096,512,grid
4,4096,768,grid
4,4096,1024,grid
4,4096,1536,grid
4,4096,2048,grid
4,4515,6,random
4,6788,2,random
4,7580,3663,random
5,2,4268,random
5,4,684,random
5,4,857,random
5,5,379,random
5,6,1,random
5,6,8,random
5,6,140,random
5,6,429,random
5,8,2,random
5,9,51,random
5,19,7273,random
5,26,440,random
5,31,420,random
5,70,40,random
5,83,3,random
5,95,7,random
5,152,72,random
5,175,127,random
5,192,14,random
5,198,1,random
5,363,7326,random
5,371,1522,random
5,376,248,random
5,849,41,random
5,1150,55,random
5,1209,474,random
5,1321,13,random
5,2003,2,random
5,2491,5615,random
5,3296,14,random
5,4810,6,random
5,5088,178,random
5,5504,90,random
5,6017,26,random
6,1,544,random
6,1,3225,random
6,2,3,random
6,3,131,random
6,3,422,random
6,4,63,random
6,9,220,random
6,22,9,random
6,25,730,random
6,33,25,random
6,36,71,random
6,42,2,random
6,181,317,random
6,231,1199,random
6,234,121,random
6,348,318,random
6,404,522,random
6,780,157,random
6,1155,1252,random
6,1273,30,random
6,6070,328,random
7,1,8,random
7,1,7906,random
7,2,3495,random
7,5,17,random
7,5,6149,random
7,6,433,random
7,6,4772,random
7,32,96,random
7,33,101,random
7,50,25,random
7,103,99,random
7,109,3371,random
7,166,1,random
7,198,1,random
7,201,21,random
7,245,147,random
7,327,38,random
7,332,1751,random
7,736,1563,random
7,804,7168,random
7,843,15,random
7,1287,20,random
7,1360,4642,random
7,1800,9,random
7,3615,67,random
7,5847,126,random
8,1,1,random
8,1,2,grid
8,1,4,grid
8,1,31,random
8,1,96,grid
8,1,118,random
8,1,127,grid
8,1,128,grid
8,1,129,grid
8,1,192,grid
8,1,257,grid
8,1,512,grid
8,1,1024,grid
8,1,1536,grid
8,1,2048,grid
8,1,2159,random
8,1,2284,random
8,1,4096,grid
8,2,1,grid
8,2,5,random
8,2,8,grid
8,2,127,grid
8,2,129,grid
8,2,192,grid
8,2,256,grid
8,2,384,grid
8,2,1536,grid
8,2,4096,grid
8,4,1,random
8,4,8,grid
8,4,16,grid
8,4,32,grid
8,4,96,grid
8,4,128,grid
8,4,129,grid
8,4,192,grid
8,4,256,grid
8,4,384,grid
8,4,1536,grid
8,4,2048,grid
8,4,4096,grid
8,8,4,grid
8,8,32,grid
8,8,64,grid
8,8,96,grid
8,8,128,grid
8,8,192,grid
8,8,256,deepK
8,8,257,deepK
8,8,264,deepK
8,8,289,deepK
8,8,320,deepK
8,8,352,deepK
8,8,383,deepK
8,8,384,grid
8,8,512,grid
8,8,513,deepK
8,8,520,deepK
8,8,545,deepK
8,8,576,deepK
8,8,608,deepK
8,8,639,deepK
8,8,1024,deepK
8,8,1025,deepK
8,8,1032,deepK
8,8,1057,deepK
8,8,1088,deepK
8,8,1120,deepK
8,8,1151,deepK
8,8,2048,deepK
8,8,2049,deepK
8,8,2056,deepK
8,8,2081,deepK
8,8,2112,deepK
8,8,2144,deepK
8,8,2175,deepK
8,8,4096,deepK
8,8,4097,deepK
8,8,4104,deepK
8,8,4129,deepK
8,8,4160,deepK
8,8,4192,deepK
8,8,4223,deepK
8,8,8192,deepK
8,8,8193,deepK
8,8,8200,deepK
8,8,8225,deepK
8,8,8256,deepK
8,8,8288,deepK
8,8,8319,deepK
8,16,2,grid
8,16,4,grid
8,16,32,grid
8,16,129,grid
8,16,192,grid
8,16,257,grid
8,16,384,grid
8,16,1024,grid
8,20,30,random
8,20,86,random
8,27,31,random
8,32,96,grid
8,32,127,grid
8,32,128,grid
8,32,192,grid
8,32,256,grid
8,32,512,grid
8,32,768,grid
8,64,2,grid
8,64,4,grid
8,64,8,grid
8,64,64,grid
8,64,127,grid
8,64,256,grid
8,64,512,grid
8,64,1536,grid
8,96,4,grid
8,96,16,grid
8,96,64,grid
8,96,127,grid
8,96,128,grid
8,96,129,grid
8,96,257,grid
8,96,1024,grid
8,96,1536,grid
8,96,2048,grid
8,127,2,grid
8,127,8,grid
8,127,127,grid
8,127,129,grid
8,127,256,grid
8,127,257,grid
8,127,512,grid
8,127,768,grid
8,127,1024,grid
8,127,4096,grid
8,128,1,grid
8,128,2,grid
8,128,16,grid
8,128,32,grid
8,128,64,grid
8,128,256,grid
8,128,257,grid
8,128,384,grid
8,128,512,grid
8,128,768,grid
8,129,1,grid
8,129,2,grid
8,129,32,grid
8,129,127,grid
8,129,128,grid
8,129,129,grid
8,129,256,grid
8,129,512,grid
8,129,768,grid
8,129,4096,grid
8,185,1,random
8,192,1,grid
8,192,2,grid
8,192,32,grid
8,192,64,grid
8,192,127,grid
8,192,128,grid
8,192,192,grid
8,192,256,grid
8,192,384,grid
8,192,512,grid
8,217,55,random
8,256,2,grid
8,256,8,grid
8,256,32,grid
8,256,64,wide_output
8,256,127,grid
8,256,129,grid
8,256,192,grid
8,256,256,grid
8,256,384,grid
8,256,768,grid
