M,N,K,shape_class
3744,115,13,r1
3097,121,7,r1
4749,387,4,r1
2960,116,2,r1
4320,18,18,r1
2259,156,6,r1
3328,23,10,r1
4308,11,24,r1
2060,10,37,r1
2042,109,1,r1
3324,827,1,r1
3544,2,67,r1
4266,273,26,r1
1935,1,20,r1
6142,736,30,r1
4474,6,38,r1
2685,2,9,r1
2820,4,8,r1
5452,27,9,r1
4380,53,2,r1
5536,29,46,r1
3019,446,7,r1
2481,4,96,r1
3799,1,7,r1
2522,2,2,r1
2053,124,2,r1
3908,103,31,r1
3484,9,71,r1
2896,32,21,r1
3501,1382,103,r1
5662,1166,17,r1
3397,205,3,r1
2617,1,2,r1
1930,141,2,r1
4794,172,111,r1
3046,1060,9,r1
2851,2,72,r1
4840,11,9,r1
2803,1,1,r1
2949,5,13,r1
2390,5,26,r1
4518,11,65,r1
2583,13,32,r1
2023,1167,1,r1
3283,239,1,r1
4921,1637,9,r1
2204,2,2,r1
4678,23,87,r1
3206,2,8,r1
4620,528,1,r1
2369,41,2,r1
5289,1170,5,r1
3185,67,4,r1
3604,5,4,r1
3211,97,13,r1
2602,6,2,r1
4777,2,35,r1
2565,9,36,r1
4136,273,12,r1
5216,3,23,r1
2204,263,6,r1
4210,204,25,r1
2485,538,3,r1
3509,164,3,r1
3989,9,2,r1
4925,65,5,r1
3794,1,2,r1
3043,1598,12,r1
2100,325,44,r1
4729,74,29,r1
2462,254,52,r1
4648,14,18,r1
3991,907,2,r1
5065,54,6,r1
3263,1,3,r1
4103,148,11,r1
5819,38,5,r1
5147,7,19,r1
4352,499,45,r1
3002,2,1,r1
4470,1437,5,r1
3208,242,24,r1
2599,160,4,r1
2907,59,35,r1
2290,1,21,r1
1977,1,3,r1
4109,2,1,r1
5948,24,76,r1
2471,27,6,r1
2360,12,120,r1
4580,18,7,r1
2610,56,35,r1
180,3290,1,r2
1061,3090,7,r2
1,2256,68,r2
49,4501,2,r2
12,5102,54,r2
6,1971,50,r2
4,4800,28,r2
4,2105,90,r2
92,3952,9,r2
3,3868,3,r2
443,4503,1,r2
1152,2004,2,r2
9,2289,3,r2
15,4518,7,r2
8,3405,7,r2
10,5473,14,r2
1618,4718,16,r2
7,4269,9,r2
234,3072,11,r2
1,4541,1,r2
172,3779,43,r2
9,4265,3,r2
55,2853,115,r2
1552,2449,16,r2
12,5923,89,r2
84,4437,27,r2
14,5575,79,r2
12,4580,1,r2
479,3705,102,r2
16,3976,5,r2
372,3862,120,r2
1,2263,1,r2
3,5660,100,r2
38,5775,53,r2
360,4580,2,r2
63,3145,100,r2
4,2340,24,r2
3,2183,12,r2
413,3882,39,r2
7,2676,8,r2
1792,4426,99,r2
58,3660,122,r2
4,4772,47,r2
594,4595,2,r2
148,5622,15,r2
15,5794,15,r2
22,3923,49,r2
6,1956,13,r2
1232,4236,21,r2
115,3423,35,r2
7,5417,4,r2
1266,5641,1,r2
30,4563,9,r2
47,4908,31,r2
1398,2326,88,r2
1114,4018,96,r2
7,5355,43,r2
100,2134,1,r2
1,2571,40,r2
19,4732,21,r2
19,5345,1,r2
34,5041,2,r2
215,2813,1,r2
36,3523,1,r2
72,2877,1,r2
4,2185,14,r2
1,5651,60,r2
1270,2770,81,r2
1705,4674,4,r2
159,3840,7,r2
10,2059,2,r2
3,3360,23,r2
323,2028,54,r2
1,3662,37,r2
118,5795,5,r2
84,2115,15,r2
468,2428,4,r2
199,2581,4,r2
1179,6134,2,r2
903,3653,1,r2
84,4050,1,r2
307,4971,1,r2
135,3266,3,r2
32,2312,5,r2
142,3343,15,r2
61,4987,5,r2
467,2108,8,r2
14,3247,57,r2
48,6054,65,r2
2,2777,1,r2
257,1964,74,r2
4,3108,1,r2
11,3021,1,r2
331,4392,6,r2
552,2102,1,r2
15,5481,39,r2
161,3695,49,r2
23,1991,49,r2
4,3015,6,r2
3,2888,2,r2
105,4106,1,r2
32,3658,69,r2
43,2109,1,r2
677,4817,64,r2
7,4081,2,r2
517,2831,103,r2
35,1996,82,r2
113,2682,1,r2
17,2305,14,r2
3,2353,87,r2
126,2547,71,r2
112,5767,10,r2
823,4228,1,r2
6,2665,2,r2
6,2498,71,r2
33,5322,2,r2
72,1951,91,r2
1,3023,49,r2
1918,1965,55,r2
47,2008,43,r2
2,3911,44,r2
163,2988,1,r2
27,5557,5,r2
7,2255,12,r2
56,2091,7,r2
145,5906,8,r2
27,3322,3,r2
20,4068,7,r2
81,5075,127,r2
805,2960,1,r2
102,3335,3,r2
1,2792,48,r2
1464,2175,71,r2
1,4403,1,r2
24,5284,7,r2
1085,4402,19,r2
3,2854,7,r2
87,6116,4,r2
45,5687,5,r2
116,4681,21,r2
298,2412,104,r2
4,3787,4,r2
121,2695,8,r2
174,2627,34,r2
14,2240,20,r2
4,3169,7,r2
2,4389,27,r2
358,3620,15,r2
4,2445,3,r2
53,4978,6,r2
5356,4519,32,r3
2836,2205,107,r3
5188,3090,66,r3
5465,2861,11,r3
2825,4311,84,r3
6035,4561,4,r3
5347,6092,5,r3
5788,3482,108,r3
6114,4943,28,r3
2298,1932,18,r3
4357,5700,12,r3
4319,4077,3,r3
4063,6015,2,r3
4277,3924,6,r3
4832,1945,76,r3
4969,3359,2,r3
3251,3789,3,r3
3382,4734,88,r3
3691,5026,1,r3
5199,5604,2,r3
5027,5158,71,r3
3505,3896,3,r3
4376,3076,1,r3
2246,3017,73,r3
3705,5574,91,r3
2125,3807,5,r3
3463,3262,10,r3
2162,5061,11,r3
4066,3328,2,r3
3603,2313,62,r3
5052,2270,1,r3
2080,3034,102,r3
3667,2616,3,r3
2185,2263,51,r3
2257,5246,54,r3
2252,3678,1,r3
5233,3676,39,r3
3397,4287,92,r3
3682,5311,5,r3
2152,1933,3,r3
5093,2759,3,r3
3418,5776,12,r3
2855,2102,16,r3
2499,2945,6,r3
4638,2515,94,r3
4554,3361,72,r3
2917,3003,2,r3
4749,3063,11,r3
3321,4120,6,r3
5571,3174,6,r3
3062,4682,124,r3
5261,3355,4,r3
3226,2866,3,r3
2387,5837,11,r3
2183,3002,7,r3
3490,6003,114,r3
3709,3941,27,r3
3444,3383,5,r3
4255,2138,5,r3
5413,2502,109,r3
6032,3750,1,r3
2142,2425,5,r3
2191,4854,6,r3
2521,2021,6,r3
1931,2200,19,r3
5696,2422,36,r3
2417,1924,77,r3
5137,2076,2,r3
2523,5653,6,r3
4911,3188,6,r3
4677,3930,4,r3
3783,4354,55,r3
4221,4046,18,r3
2138,5765,32,r3
2638,4296,20,r3
4132,2984,16,r3
4138,2429,12,r3
2209,2172,83,r3
2220,5427,10,r3
3260,2852,8,r3
2979,3705,5,r3
4995,2520,3,r3
3359,5697,1,r3
4454,1934,7,r3
4671,3227,8,r3
2579,3337,3,r3
2671,4106,18,r3
5661,5926,13,r3
2127,2722,12,r3
4202,5771,2,r3
2005,5282,50,r3
4679,3312,27,r3
3099,2402,7,r3
4797,4880,106,r3
5392,4245,13,r3
4457,2377,88,r3
4399,3834,8,r3
4013,3939,78,r3
3730,2462,9,r3
2548,5501,60,r3
3666,2414,1,r3
2245,3216,26,r3
2492,4258,66,r3
4633,3151,23,r3
6061,5378,5,r3
4262,2322,15,r3
2908,3197,8,r3
4153,5137,10,r3
2278,4617,38,r3
5823,3037,9,r3
3602,5420,30,r3
1969,2445,63,r3
3794,5306,7,r3
2454,1930,126,r3
2251,4057,11,r3
2989,3587,1,r3
5934,3407,1,r3
3128,4633,5,r3
4568,4688,3,r3
5919,1984,66,r3
3486,2296,4,r3
3830,2655,58,r3
2480,3002,12,r3
2852,5008,4,r3
2130,2300,21,r3
3699,2068,124,r3
3354,2785,34,r3
1976,3183,25,r3
5879,4657,73,r3
2206,3166,1,r3
2636,3003,5,r3
2966,4887,3,r3
5010,3607,5,r3
3651,2318,11,r3
1971,5239,5,r3
2866,6109,20,r3
3122,4817,1,r3
3729,3519,65,r3
3798,3377,12,r3
4768,2877,15,r3
4372,6112,29,r3
5878,3055,19,r3
4569,2880,4,r3
5953,2881,128,r3
5174,2470,56,r3
6028,2650,25,r3
4700,2116,53,r3
2749,4367,100,r3
2001,3912,4,r3
2195,4395,116,r3
3487,2873,9,r3
3111,3565,7,r3
2109,5999,126,r3
2352,2542,8,r3
4328,1992,58,r3
4035,2627,68,r3
4144,2777,14,r3
5997,2032,31,r3
5157,4296,2,r3
3846,4790,8,r3
3781,2579,5,r3
4918,3394,9,r3
2216,2969,13,r3
2513,4914,6,r3
2535,2749,55,r3
5496,5867,1,r3
4615,3539,2,r3
2559,2665,7,r3
3321,5709,1,r3
4381,5185,6,r3
2567,2485,4,r3
2275,3648,3,r3
1983,2518,54,r3
3121,5366,97,r3
2549,3684,72,r3
3777,2335,3,r3
6056,2721,67,r3
4841,4552,33,r3
4813,5145,1,r3
2335,3458,3,r3
56,42,211,r4
2,1,3125,r4
2,1436,5772,r4
281,30,374,r4
23,14,596,r4
242,852,237,r4
6,5,154,r4
638,48,167,r4
29,30,2606,r4
316,3,1453,r4
47,1,228,r4
155,16,5340,r4
44,182,216,r4
38,257,3229,r4
5,20,804,r4
28,36,405,r4
452,995,497,r4
124,18,1207,r4
192,44,1748,r4
306,587,268,r4
5,49,924,r4
449,50,4176,r4
357,46,3141,r4
37,13,688,r4
31,137,158,r4
248,1510,759,r4
2,5,192,r4
7,404,130,r4
738,1216,264,r4
4,1482,519,r4
463,1,5929,r4
1,99,4660,r4
536,10,3090,r4
20,44,525,r4
15,81,2647,r4
198,333,136,r4
56,14,289,r4
1055,4,263,r4
4,145,1371,r4
46,84,4884,r4
672,943,159,r4
884,1,1575,r4
1138,45,652,r4
12,1018,4616,r4
108,222,478,r4
3,1638,1633,r4
8,1615,1356,r4
12,873,174,r4
437,3,196,r4
7,222,1351,r4
24,3,4576,r4
328,179,2982,r4
348,2,2560,r4
567,283,831,r4
179,2,2472,r4
7,378,1501,r4
47,58,172,r4
1,1,2581,r4
3,3,571,r4
1622,811,433,r4
492,2,587,r4
80,1730,156,r4
23,1046,144,r4
93,20,1124,r4
204,22,4049,r4
1374,1715,159,r4
559,766,226,r4
1233,3,287,r4
1372,534,1197,r4
9,7,612,r4
1,123,157,r4
347,2,134,r4
9,344,3218,r4
46,1204,201,r4
12,270,450,r4
3,79,164,r4
17,7,465,r4
39,57,179,r4
11,18,613,r4
38,25,172,r4
5,130,3171,r4
48,3,169,r4
3,18,1145,r4
152,53,1146,r4
14,153,2139,r4
21,474,2285,r4
934,34,490,r4
356,1,568,r4
1616,13,934,r4
7,2,198,r4
27,108,1062,r4
50,2,151,r4
15,1243,258,r4
8,39,4411,r4
1286,1,1576,r4
6,141,2275,r4
818,175,3405,r4
376,3,153,r4
266,53,6094,r4
3,18,392,r4
767,39,4401,r4
210,1903,1309,r4
1603,4,711,r4
79,1629,1157,r4
693,116,934,r4
19,16,404,r4
5,1447,1025,r4
696,805,4916,r4
6,13,1489,r4
11,3,2430,r4
64,58,2008,r4
2,1064,824,r4
187,94,1337,r4
214,2,879,r4
5,19,932,r4
15,22,2172,r4
1,1383,1330,r4
3,68,176,r4
44,182,653,r4
11,163,4785,r4
739,18,3625,r4
2,2,5758,r4
320,105,1117,r4
10,895,3478,r4
38,5,1760,r4
242,1856,2734,r4
2,1779,3502,r4
82,12,2189,r4
91,2,1138,r4
1,389,3108,r4
250,2,1251,r4
19,3,4049,r4
1241,1067,1004,r4
689,4,404,r4
963,87,309,r4
3,6,877,r4
10,258,368,r4
2,889,1677,r4
1578,4,3724,r4
1,58,823,r4
3,475,367,r4
891,198,3473,r4
700,398,2220,r4
1,3,287,r4
79,1,211,r4
39,1,442,r4
5,4,438,r4
782,6,1584,r4
257,165,267,r4
14,8,1034,r4
5927,5,1090,r5
2073,17,5147,r5
5524,2,3475,r5
4415,1032,765,r5
3140,876,1024,r5
4655,4,168,r5
3206,12,932,r5
2867,679,2212,r5
3002,3,2003,r5
3604,3,148,r5
3935,50,1192,r5
3115,35,585,r5
2127,57,206,r5
4203,289,247,r5
2428,6,1303,r5
3082,820,1072,r5
3539,5,183,r5
5629,2,213,r5
2411,78,1523,r5
3173,20,1535,r5
2605,425,1529,r5
3872,1,490,r5
4696,5,1556,r5
5966,28,954,r5
2458,1,322,r5
3325,96,3260,r5
2691,12,2088,r5
4159,222,3824,r5
2130,3,878,r5
3916,140,314,r5
2250,1060,326,r5
1961,8,951,r5
4012,267,226,r5
3467,11,2121,r5
2918,460,270,r5
6106,52,663,r5
4466,18,148,r5
3207,9,1660,r5
3544,531,854,r5
2301,3,1179,r5
2614,5,4906,r5
2259,1018,1024,r5
5709,569,409,r5
3318,2,532,r5
5642,2,333,r5
2019,670,1809,r5
3812,34,352,r5
3796,203,2761,r5
2320,113,1777,r5
3776,245,954,r5
5828,136,1460,r5
1951,3,1316,r5
4686,3,1510,r5
2299,321,3079,r5
3953,2,380,r5
2628,34,2627,r5
3763,1807,1990,r5
2264,1640,162,r5
2829,124,583,r5
1971,9,328,r5
4736,88,225,r5
5298,5,444,r5
5311,325,656,r5
3513,1640,2010,r5
4415,142,5871,r5
5624,10,720,r5
4023,6,1573,r5
5490,10,534,r5
3241,19,1549,r5
2041,355,388,r5
3959,25,1369,r5
3722,50,240,r5
1938,2,571,r5
2590,39,795,r5
3498,3,881,r5
5800,4,137,r5
2849,212,3588,r5
2181,1,428,r5
3959,1052,462,r5
4754,3,1535,r5
2569,316,4375,r5
3209,180,507,r5
5155,22,1232,r5
6048,68,742,r5
2148,1312,980,r5
4339,141,323,r5
4029,2,161,r5
5107,94,413,r5
3544,68,1769,r5
1921,3,185,r5
4611,31,278,r5
2969,158,766,r5
3624,1197,606,r5
2166,2,2121,r5
2762,2,2608,r5
5399,2,1396,r5
4544,6,3269,r5
4255,29,245,r5
2592,529,247,r5
4358,75,1126,r5
1958,3,427,r5
3998,18,347,r5
3001,33,1283,r5
3683,16,668,r5
4905,86,5482,r5
3870,9,937,r5
3329,632,2228,r5
5348,227,343,r5
2638,3,3850,r5
5470,12,141,r5
3334,388,1950,r5
4214,1,191,r5
4485,487,261,r5
4963,1328,1318,r5
3648,1,638,r5
3306,1350,708,r5
1948,73,168,r5
6087,147,2075,r5
4302,1229,617,r5
2657,2,141,r5
3346,277,2244,r5
1927,106,3208,r5
5263,336,651,r5
4355,201,165,r5
2010,14,1549,r5
2991,131,2445,r5
4710,9,5508,r5
3657,115,1501,r5
4203,3,1748,r5
3173,1515,2036,r5
5961,1795,3235,r5
3798,94,792,r5
2952,24,4398,r5
4073,4,149,r5
3201,28,166,r5
2500,12,553,r5
3972,3,3086,r5
3424,2,190,r5
5751,1,1583,r5
2365,141,5856,r5
5587,27,683,r5
2690,28,5222,r5
2007,37,4107,r5
2174,2,3004,r5
2669,417,414,r5
1995,492,465,r5
3284,2,1594,r5
5036,5,4747,r5
4013,63,286,r5
5320,25,152,r5
1095,2950,403,r6
2,1996,152,r6
746,5269,792,r6
2,2259,5017,r6
69,4844,174,r6
2,4742,202,r6
495,5693,687,r6
2,4425,722,r6
44,5394,1038,r6
3,2962,3437,r6
48,2110,913,r6
1,5340,336,r6
248,6106,4117,r6
54,2800,1919,r6
62,5526,329,r6
189,2294,617,r6
357,2934,386,r6
14,2966,133,r6
3,4544,1875,r6
139,2252,202,r6
40,3372,210,r6
1483,4968,3750,r6
4,4121,2986,r6
12,6040,186,r6
402,2273,341,r6
4,2198,1723,r6
6,4865,2521,r6
1392,4728,5912,r6
68,1994,465,r6
20,5908,656,r6
8,4868,4507,r6
1,6010,2104,r6
1859,4083,133,r6
169,2500,5876,r6
1149,5226,1994,r6
7,5642,3096,r6
121,2343,279,r6
73,3829,624,r6
469,4227,350,r6
1,3890,461,r6
835,2522,1074,r6
4,5911,1547,r6
297,5412,745,r6
62,3240,1410,r6
13,4995,529,r6
341,1959,526,r6
38,5476,2102,r6
257,4027,4187,r6
240,4003,4525,r6
323,1954,3698,r6
4,4586,637,r6
19,2297,676,r6
1912,5026,2222,r6
129,2466,165,r6
1155,5524,130,r6
980,4588,189,r6
3,2358,348,r6
921,3135,1033,r6
25,3295,340,r6
11,2576,388,r6
99,1974,4822,r6
49,3444,658,r6
251,4655,2102,r6
1478,3110,180,r6
418,4398,142,r6
42,4925,5031,r6
14,3324,720,r6
277,4352,808,r6
4,3802,142,r6
15,2748,167,r6
2,4804,743,r6
3,5690,437,r6
28,4309,234,r6
371,5133,861,r6
213,4454,5954,r6
351,2922,928,r6
20,3579,4107,r6
2,5433,904,r6
3,5689,274,r6
1,3321,1183,r6
1,3991,1136,r6
71,2111,512,r6
3,3310,540,r6
12,5355,1439,r6
2,4125,6056,r6
16,4705,1634,r6
36,3075,295,r6
24,2620,844,r6
158,5387,226,r6
456,4659,1460,r6
4,2088,219,r6
11,2696,2953,r6
13,2320,5594,r6
206,4888,881,r6
2,3798,719,r6
11,2127,438,r6
8,2907,2030,r6
2,2984,2420,r6
10,5197,3634,r6
4,4088,1526,r6
4,3674,809,r6
6,4401,4101,r6
878,2172,558,r6
2,3294,1672,r6
209,2054,200,r6
119,5071,1349,r6
2,2113,1216,r6
5,4582,414,r6
515,5483,1004,r6
203,4670,1452,r6
133,3072,4061,r6
4,2319,2118,r6
5,3517,4199,r6
15,4518,3705,r6
145,2135,948,r6
414,6128,759,r6
2,2883,889,r6
1126,2072,4438,r6
28,2157,2353,r6
2,2245,322,r6
63,4139,3582,r6
86,4031,828,r6
45,4152,366,r6
9,3964,1425,r6
4,2412,1073,r6
544,2760,253,r6
1,3558,994,r6
103,3627,1645,r6
719,2779,2794,r6
6,2822,871,r6
51,4529,143,r6
266,4904,130,r6
70,1963,220,r6
725,2048,4296,r6
155,4680,1752,r6
309,4499,4093,r6
15,2998,1586,r6
55,4228,535,r6
24,3031,150,r6
263,3722,3954,r6
265,3112,2580,r6
2,4025,4710,r6
846,2775,381,r6
9,5385,484,r6
23,2818,361,r6
719,3218,1016,r6
21,2837,613,r6
867,2661,1904,r6
5,5529,783,r6
10,3162,2248,r6
5199,4941,213,r7
5915,3346,5086,r7
2343,5736,272,r7
5278,2631,3323,r7
2324,5189,1661,r7
2212,5709,690,r7
2378,5123,159,r7
2008,4527,183,r7
4575,2144,4867,r7
2254,3696,1565,r7
2941,2147,851,r7
2838,5412,283,r7
2492,3846,717,r7
2682,2261,3309,r7
2147,5495,4881,r7
2235,5629,360,r7
4827,2802,721,r7
4388,3625,2381,r7
3045,2065,486,r7
5373,4883,4620,r7
3811,2814,830,r7
3408,2554,3736,r7
2058,2825,5646,r7
3685,5756,132,r7
4936,3975,3528,r7
4513,6143,476,r7
4562,5129,1879,r7
4820,4979,369,r7
2670,3074,141,r7
5502,4932,215,r7
4976,2818,1345,r7
3393,3222,1357,r7
5517,3109,143,r7
5169,5810,2917,r7
2305,3135,2402,r7
5243,5281,4574,r7
4050,2257,654,r7
5861,2240,4742,r7
2918,3818,2988,r7
2140,2189,819,r7
5497,5935,1616,r7
2400,4832,552,r7
2612,3814,714,r7
3513,5936,150,r7
5304,3180,3385,r7
5320,4525,804,r7
3523,3842,595,r7
4404,5189,474,r7
5827,3695,401,r7
2321,4470,382,r7
4920,5777,504,r7
2981,2728,346,r7
6134,5029,3648,r7
1984,5813,3111,r7
5003,5642,633,r7
2101,3724,1022,r7
2469,4554,5802,r7
4418,4836,2553,r7
4929,2313,1339,r7
3897,5307,700,r7
2600,3585,869,r7
1959,2033,267,r7
3406,4131,965,r7
3748,6087,181,r7
2963,3622,2737,r7
5367,3951,1624,r7
5434,4824,1216,r7
1948,3104,170,r7
5885,5022,491,r7
2159,3701,503,r7
4454,5085,1295,r7
4974,1940,318,r7
3169,3299,2980,r7
2356,3739,1031,r7
4080,1952,153,r7
2135,3035,1299,r7
4510,4094,195,r7
5257,3039,3022,r7
2344,2989,1720,r7
3996,3511,4566,r7
4935,3840,1769,r7
3113,3487,1473,r7
5086,2424,756,r7
2379,2416,148,r7
2207,4634,462,r7
2738,2271,1196,r7
3113,2048,566,r7
4913,4631,5573,r7
5206,3426,2755,r7
4787,3094,576,r7
3684,3214,1432,r7
4948,5592,1549,r7
3536,2469,604,r7
2493,4483,1040,r7
2296,2328,144,r7
2193,3946,1515,r7
3550,4810,1065,r7
2588,4678,531,r7
2023,2470,719,r7
3918,4755,3597,r7
4726,4602,1257,r7
2405,4168,1887,r7
2624,2957,401,r7
6113,4320,517,r7
2409,2854,328,r7
5047,2390,557,r7
3578,2573,248,r7
5874,5493,143,r7
3572,2021,689,r7
2182,4895,280,r7
2725,2123,5434,r7
3436,3138,1092,r7
2367,4855,391,r7
5142,4537,403,r7
3380,2705,4877,r7
5155,3595,1853,r7
2103,4873,515,r7
2625,2812,4004,r7
2166,6048,773,r7
3984,3462,164,r7
4679,3062,831,r7
4993,2760,222,r7
2026,4285,167,r7
3830,2079,200,r7
3037,2697,195,r7
5742,5773,5319,r7
6006,5531,1149,r7
3074,4551,976,r7
2502,4734,242,r7
4099,5795,1020,r7
2275,2914,928,r7
3175,2285,1301,r7
5344,5945,260,r7
4130,1970,230,r7
3489,3888,336,r7
4513,5419,5473,r7
2168,4252,973,r7
4325,5686,390,r7
5352,2134,151,r7
5632,2596,2009,r7
2480,3807,480,r7
4452,4567,4213,r7
4888,3242,211,r7
4193,3201,1995,r7
6060,2835,716,r7
2863,2791,329,r7
2895,2926,515,r7
5783,2971,138,r7
5898,3775,424,r7
4834,1971,3504,r7
2206,1976,224,r7
5073,2038,4403,r7
2697,2415,1621,r7
2546,3706,2468,r7
4175,2778,1490,r7
3991,1968,765,r7
4009,2994,240,r7
5551,1945,3651,r7
2332,6083,4351,r7
2137,4690,1703,r7
5249,3421,431,r7
4817,4522,1025,r7
6041,4700,880,r7
5636,3459,3351,r7
2036,2234,294,r7
2516,2262,151,r7
3682,3814,2136,r7
3926,3253,734,r7
1953,3933,1505,r7
3976,5876,1952,r7
2454,3907,1096,r7
4200,3836,2407,r7
3272,3713,4610,r7
2611,4150,2232,r7
4991,3741,5561,r7
5885,3491,740,r7
2166,3802,429,r7
4275,4417,3662,r7
4558,4923,3325,r7
6115,2816,1255,r7
